Date,Open,Close
1/2/2000,238.8155541,238.8155541
1/9/2000,248.2605846,248.2605846
1/16/2000,252.9455838,252.9455838
1/23/2000,252.2852365,252.2852365
1/30/2000,248.2588423,248.2588423
2/6/2000,246.8477247,246.8477247
2/13/2000,248.5854727,248.5854727
2/20/2000,248.218151,248.218151
2/27/2000,249.3381003,249.3381003
3/5/2000,250.210322,250.210322
3/12/2000,248.6258833,248.6258833
3/19/2000,251.784615,251.784615
3/26/2000,257.3168353,257.3168353
4/2/2000,260.4544362,260.4544362
4/9/2000,263.3136525,263.3136525
4/16/2000,263.8991485,263.8991485
4/23/2000,262.0520673,262.0520673
4/30/2000,262.189196,262.189196
5/7/2000,264.2903328,264.2903328
5/14/2000,262.2663604,262.2663604
5/21/2000,260.5783568,260.5783568
5/28/2000,256.8038123,256.8038123
6/4/2000,255.1946156,255.1946156
6/11/2000,259.0415253,259.0415253
6/18/2000,257.7278745,257.7278745
6/25/2000,256.2690889,256.2690889
7/2/2000,258.333495,258.333495
7/9/2000,261.9582239,261.9582239
7/16/2000,266.4695525,266.4695525
7/23/2000,269.0891302,269.0891302
7/30/2000,268.1952581,268.1952581
8/6/2000,269.3217416,269.3217416
8/13/2000,272.7813686,272.7813686
8/20/2000,276.6349699,276.6349699
8/27/2000,276.7446598,276.7446598
9/3/2000,275.1666046,275.1666046
9/10/2000,278.1818128,278.1818128
9/17/2000,276.4368015,276.4368015
9/24/2000,270.031897,270.031897
10/1/2000,265.25245,265.25245
10/8/2000,263.611391,263.611391
10/15/2000,261.7730657,261.7730657
10/22/2000,261.334827,261.334827
10/29/2000,267.961251,267.961251
11/5/2000,278.1605253,278.1605253
11/12/2000,282.1235097,282.1235097
11/19/2000,286.9367216,286.9367216
11/26/2000,299.8522494,299.8522494
12/3/2000,301.7893543,301.7893543
12/10/2000,298.1416299,298.1416299
12/17/2000,297.6295958,297.6295958
12/24/2000,297.7677292,297.7677292
12/31/2000,301.1802973,301.1802973
1/7/2001,294.8533525,294.8533525
1/14/2001,296.1949936,296.1949936
1/21/2001,292.6979948,292.6979948
1/28/2001,285.3283142,285.3283142
2/4/2001,287.4308511,287.4308511
2/11/2001,297.4231324,297.4231324
2/18/2001,302.0584961,302.0584961
2/25/2001,304.5550649,304.5550649
3/4/2001,309.0811157,309.0811157
3/11/2001,310.2302245,310.2302245
3/18/2001,310.667347,310.667347
3/25/2001,314.9032967,314.9032967
4/1/2001,322.1232153,322.1232153
4/8/2001,329.6409176,329.6409176
4/15/2001,331.7711259,331.7711259
4/22/2001,331.5394437,331.5394437
4/29/2001,328.492866,328.492866
5/6/2001,325.9159668,325.9159668
5/13/2001,323.059072,323.059072
5/20/2001,321.7626836,321.7626836
5/27/2001,322.7700044,322.7700044
6/3/2001,322.4200546,322.4200546
6/10/2001,318.5854099,318.5854099
6/17/2001,314.0928929,314.0928929
6/24/2001,323.9790506,323.9790506
7/1/2001,333.4078775,333.4078775
7/8/2001,330.3447363,330.3447363
7/15/2001,326.3937256,326.3937256
7/22/2001,328.5606711,328.5606711
7/29/2001,334.948999,334.948999
8/5/2001,348.3013267,348.3013267
8/12/2001,359.8081437,359.8081437
8/19/2001,361.4168728,361.4168728
8/26/2001,363.9891354,363.9891354
9/2/2001,367.8377421,367.8377421
9/9/2001,371.992337,371.992337
9/16/2001,380.5942621,380.5942621
9/23/2001,385.3035818,385.3035818
9/30/2001,380.8430551,380.8430551
10/7/2001,365.3217065,365.3217065
10/14/2001,343.534148,343.534148
10/21/2001,334.0186606,334.0186606
10/28/2001,335.0731351,335.0731351
11/4/2001,347.8415182,347.8415182
11/11/2001,354.0106191,354.0106191
11/18/2001,356.8097758,356.8097758
11/25/2001,362.7705149,362.7705149
12/2/2001,360.8060349,360.8060349
12/9/2001,362.7543029,362.7543029
12/16/2001,366.4452338,366.4452338
12/23/2001,363.9775066,363.9775066
12/30/2001,369.0894118,369.0894118
1/6/2002,345.383314,345.383314
1/13/2002,347.5804234,347.5804234
1/20/2002,341.9570901,341.9570901
1/27/2002,327.6690521,327.6690521
2/3/2002,318.0482515,318.0482515
2/10/2002,320.1933104,320.1933104
2/17/2002,329.7033478,329.7033478
2/24/2002,333.5300765,333.5300765
3/3/2002,340.6250217,340.6250217
3/10/2002,348.1412402,348.1412402
3/17/2002,345.6423994,345.6423994
3/24/2002,324.8237348,324.8237348
3/31/2002,316.8442482,316.8442482
4/7/2002,331.9443167,331.9443167
4/14/2002,327.0647717,327.0647717
4/21/2002,317.4735227,317.4735227
4/28/2002,311.6233109,311.6233109
5/5/2002,302.3810756,302.3810756
5/12/2002,292.2617261,292.2617261
5/19/2002,279.7569535,279.7569535
5/26/2002,276.4838419,276.4838419
6/2/2002,277.9621784,277.9621784
6/9/2002,263.86978,263.86978
6/16/2002,261.0777828,261.0777828
6/23/2002,270.7897715,270.7897715
6/30/2002,277.3883744,277.3883744
7/7/2002,275.610609,275.610609
